Dataset;k;Accuracy;Individual accs
biodegradation;3;0.771939;[0.698629, 0.478459, 0.661358, 0.644412, 0.478459, 0.478459, 0.771939]
biodegradation;5;0.771504;[0.716616, 0.482122, 0.684391, 0.650417, 0.482122, 0.482122, 0.771504]
biodegradation;7;0.770512;[0.724469, 0.572389, 0.680593, 0.645407, 0.572389, 0.572389, 0.770512]
bupa;3;0.618238;[0.615571, 0.509524, 0.623048, 0.552476, 0.601143, 0.591714, 0.614476]
bupa;5;0.615857;[0.566857, 0.529048, 0.612762, 0.557619, 0.593667, 0.57981, 0.630857]
bupa;7;0.598143;[0.58319, 0.545238, 0.613667, 0.56019, 0.619429, 0.561667, 0.596238]
ionosphere;3;0.850463;[0.803056, 0.481759, 0.797963, 0.587407, 0.581667, 0.581667, 0.852685]
ionosphere;5;0.862407;[0.825926, 0.528519, 0.785556, 0.561204, 0.556667, 0.556667, 0.862407]
ionosphere;7;0.854444;[0.806667, 0.507037, 0.766204, 0.608056, 0.603333, 0.603333, 0.854444]
pima;3;0.715056;[0.717389, 0.587316, 0.643718, 0.352377, 0.67761, 0.471132, 0.701077]
pima;5;0.712393;[0.729997, 0.560433, 0.641688, 0.348525, 0.676287, 0.457236, 0.698677]
pima;7;0.709827;[0.724655, 0.563766, 0.654734, 0.348002, 0.676178, 0.456365, 0.695581]
seismic-bumps;3;0.934091;[0.922627, 0.934207, 0.918415, 0.90355, 0.934207, 0.934207, 0.918991]
seismic-bumps;5;0.933512;[0.933281, 0.934207, 0.926612, 0.93247, 0.934207, 0.934207, 0.928712]
seismic-bumps;7;0.934014;[0.934207, 0.934207, 0.930945, 0.934169, 0.934207, 0.934207, 0.932933]
sonar;3;0.541587;[0.550952, 0.489841, 0.575238, 0.522381, 0.50381, 0.53619, 0.554762]
sonar;5;0.54746;[0.559048, 0.501667, 0.587143, 0.495, 0.490556, 0.499762, 0.545556]
sonar;7;0.54373;[0.549524, 0.502857, 0.565238, 0.497778, 0.48381, 0.498016, 0.531667]
ThoraricSurgery;3;0.844043;[0.835745, 0.780851, 0.846809, 0.839574, 0.780851, 0.780851, 0.829787]
ThoraricSurgery;5;0.849787;[0.849149, 0.851064, 0.847872, 0.851064, 0.851064, 0.851064, 0.835957]
ThoraricSurgery;7;0.851064;[0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.851064, 0.850638]
vehicle;3;0.429283;[0.584025, 0.245184, 0.586418, 0.254522, 0.587545, 0.247519, 0.627474]
vehicle;5;0.421079;[0.578201, 0.249231, 0.590229, 0.258127, 0.569674, 0.25626, 0.624474]
vehicle;7;0.411143;[0.565979, 0.25314, 0.598989, 0.257545, 0.571066, 0.24072, 0.630039]
wdbc;3;0.937856;[0.912115, 0.599181, 0.915906, 0.370468, 0.931442, 0.389581, 0.935214]
wdbc;5;0.934142;[0.916481, 0.603626, 0.912398, 0.370468, 0.927047, 0.391433, 0.93925]
wdbc;7;0.930916;[0.903392, 0.62731, 0.918713, 0.370468, 0.917875, 0.392836, 0.933285]
