Dataset;k;Accuracy;Individual accs
biodegradation;3;0.793368;[0.733575, 0.565063, 0.686547, 0.634093, 0.565063, 0.565063, 0.796528]
biodegradation;5;0.795737;[0.73512, 0.576053, 0.699758, 0.640153, 0.576053, 0.576053, 0.796685]
biodegradation;7;0.805232;[0.739418, 0.539858, 0.703545, 0.642739, 0.539858, 0.539858, 0.80766]
bupa;3;0.616714;[0.658571, 0.561429, 0.650333, 0.580952, 0.634286, 0.580095, 0.677619]
bupa;5;0.645286;[0.643048, 0.545238, 0.634571, 0.580952, 0.671476, 0.579238, 0.658238]
bupa;7;0.664048;[0.658476, 0.561429, 0.671143, 0.580952, 0.666571, 0.577524, 0.66419]
ionosphere;3;0.883889;[0.841204, 0.437963, 0.843426, 0.569259, 0.563333, 0.563333, 0.883889]
ionosphere;5;0.8725;[0.820648, 0.43213, 0.829907, 0.622963, 0.613333, 0.613333, 0.881111]
ionosphere;7;0.867778;[0.825648, 0.423519, 0.832407, 0.644444, 0.638333, 0.638333, 0.878333]
pima;3;0.682043;[0.698048, 0.590649, 0.64659, 0.50729, 0.641723, 0.483543, 0.706352]
pima;5;0.716459;[0.709726, 0.560433, 0.683598, 0.388139, 0.653574, 0.456457, 0.726703]
pima;7;0.714746;[0.714784, 0.590649, 0.693124, 0.352424, 0.665304, 0.47182, 0.737538]
seismic-bumps;3;0.93409;[0.90887, 0.934207, 0.915318, 0.914813, 0.934207, 0.934207, 0.906129]
seismic-bumps;5;0.934207;[0.916254, 0.934207, 0.922547, 0.925747, 0.934207, 0.934207, 0.914391]
seismic-bumps;7;0.934169;[0.925057, 0.934207, 0.9283, 0.92942, 0.934207, 0.934207, 0.917644]
sonar;3;0.56746;[0.560159, 0.438889, 0.566746, 0.57119, 0.587937, 0.585635, 0.573651]
sonar;5;0.568413;[0.558095, 0.453175, 0.560794, 0.523016, 0.589683, 0.540238, 0.58873]
sonar;7;0.570635;[0.55254, 0.420317, 0.566032, 0.519603, 0.620159, 0.528254, 0.56627]
ThoraricSurgery;3;0.780213;[0.814894, 0.780851, 0.832766, 0.809362, 0.780851, 0.780851, 0.831702]
ThoraricSurgery;5;0.837021;[0.837021, 0.781064, 0.838085, 0.779574, 0.780851, 0.780851, 0.842766]
ThoraricSurgery;7;0.851064;[0.842553, 0.851064, 0.844255, 0.801064, 0.851064, 0.851064, 0.846809]
vehicle;3;0.420827;[0.650849, 0.24937, 0.665333, 0.25801, 0.621951, 0.256214, 0.672148]
vehicle;5;0.388443;[0.651001, 0.254251, 0.664425, 0.25801, 0.633269, 0.257981, 0.675979]
vehicle;7;0.369606;[0.643957, 0.252158, 0.659603, 0.25801, 0.628372, 0.2574, 0.67719]
wdbc;3;0.949279;[0.922651, 0.577719, 0.915624, 0.370468, 0.944717, 0.389103, 0.952963]
wdbc;5;0.948606;[0.924649, 0.603626, 0.92077, 0.370468, 0.956033, 0.391433, 0.954893]
wdbc;7;0.947875;[0.925253, 0.551813, 0.924649, 0.370468, 0.947173, 0.386774, 0.949805]
