Dataset;k;Accuracy;Individual accs
biodegradation;3;0.770051;[0.726909, 0.619135, 0.688895, 0.633044, 0.619135, 0.619135, 0.803372]
biodegradation;5;0.777303;[0.744701, 0.622798, 0.709451, 0.641218, 0.622798, 0.622798, 0.803077]
biodegradation;7;0.793189;[0.746058, 0.651666, 0.708054, 0.647642, 0.651666, 0.651666, 0.809415]
bupa;3;0.626286;[0.644524, 0.51619, 0.643048, 0.553238, 0.617952, 0.515476, 0.684095]
bupa;5;0.628381;[0.644095, 0.509524, 0.637238, 0.580952, 0.67581, 0.538667, 0.653381]
bupa;7;0.648143;[0.660905, 0.512857, 0.67181, 0.580952, 0.677381, 0.569476, 0.658571]
ionosphere;3;0.884167;[0.846759, 0.456667, 0.854722, 0.585185, 0.578333, 0.578333, 0.887778]
ionosphere;5;0.883889;[0.829259, 0.469722, 0.837407, 0.589259, 0.585, 0.585, 0.887222]
ionosphere;7;0.865093;[0.826759, 0.472222, 0.833519, 0.615833, 0.61, 0.61, 0.884444]
pima;3;0.636713;[0.696339, 0.530216, 0.651108, 0.491835, 0.641477, 0.452817, 0.693934]
pima;5;0.691269;[0.708968, 0.560433, 0.684634, 0.37645, 0.645283, 0.456457, 0.714918]
pima;7;0.682939;[0.729191, 0.560433, 0.706023, 0.355281, 0.658958, 0.456457, 0.738104]
seismic-bumps;3;0.920654;[0.909215, 0.856022, 0.91563, 0.904159, 0.856022, 0.856022, 0.904579]
seismic-bumps;5;0.932238;[0.917605, 0.934207, 0.924323, 0.931581, 0.934207, 0.934207, 0.914237]
seismic-bumps;7;0.934207;[0.925713, 0.934207, 0.92857, 0.931427, 0.934207, 0.934207, 0.917991]
sonar;3;0.57246;[0.551905, 0.439365, 0.562937, 0.59381, 0.584841, 0.561349, 0.589048]
sonar;5;0.533651;[0.547063, 0.453175, 0.53881, 0.526825, 0.583492, 0.53254, 0.609365]
sonar;7;0.542937;[0.516587, 0.424603, 0.545635, 0.524127, 0.577778, 0.521825, 0.59119]
ThoraricSurgery;3;0.851064;[0.802979, 0.780851, 0.817447, 0.799787, 0.780851, 0.780851, 0.829787]
ThoraricSurgery;5;0.851064;[0.831915, 0.711489, 0.83766, 0.74, 0.710638, 0.710638, 0.844043]
ThoraricSurgery;7;0.851064;[0.840426, 0.850851, 0.837872, 0.775106, 0.851064, 0.851064, 0.842766]
vehicle;3;0.38884;[0.643479, 0.254955, 0.666411, 0.25801, 0.627319, 0.257167, 0.674031]
vehicle;5;0.407096;[0.649231, 0.253695, 0.65866, 0.25801, 0.640359, 0.25668, 0.673023]
vehicle;7;0.504742;[0.64677, 0.253695, 0.656373, 0.25801, 0.64771, 0.256957, 0.680481]
wdbc;3;0.949454;[0.923099, 0.603626, 0.917232, 0.370468, 0.947173, 0.391433, 0.956823]
wdbc;5;0.939786;[0.927407, 0.577719, 0.922047, 0.370468, 0.9477, 0.389103, 0.95191]
wdbc;7;0.946365;[0.926637, 0.577719, 0.924951, 0.370468, 0.949815, 0.389103, 0.956569]
