Dataset;k;Accuracy;Individual accs
biodegradation;3;0.788116;[0.724626, 0.590267, 0.682981, 0.624664, 0.590267, 0.590267, 0.7922]
biodegradation;5;0.794978;[0.714062, 0.64434, 0.677636, 0.625701, 0.64434, 0.64434, 0.794317]
biodegradation;7;0.799695;[0.717605, 0.64434, 0.686013, 0.64178, 0.64434, 0.64434, 0.799695]
bupa;3;0.647381;[0.637143, 0.490476, 0.633571, 0.582952, 0.646286, 0.576333, 0.645762]
bupa;5;0.660333;[0.639095, 0.51619, 0.668048, 0.582095, 0.654381, 0.575619, 0.645524]
bupa;7;0.658857;[0.643048, 0.529048, 0.655238, 0.580381, 0.663952, 0.582476, 0.640143]
ionosphere;3;0.874259;[0.770741, 0.485833, 0.818241, 0.581574, 0.578333, 0.578333, 0.874259]
ionosphere;5;0.858611;[0.739444, 0.494815, 0.793241, 0.637407, 0.631667, 0.631667, 0.858611]
ionosphere;7;0.870833;[0.723056, 0.493981, 0.795, 0.643796, 0.638333, 0.638333, 0.870833]
pima;3;0.693055;[0.695056, 0.506667, 0.6335, 0.480537, 0.652715, 0.441297, 0.710298]
pima;5;0.707998;[0.715157, 0.560433, 0.654762, 0.463654, 0.668109, 0.460094, 0.719039]
pima;7;0.726892;[0.729919, 0.614199, 0.666734, 0.445827, 0.669538, 0.48386, 0.713519]
seismic-bumps;3;0.93212;[0.908954, 0.934207, 0.918879, 0.920031, 0.934207, 0.934207, 0.912352]
seismic-bumps;5;0.927064;[0.919458, 0.934207, 0.924207, 0.926216, 0.934207, 0.934207, 0.922701]
seismic-bumps;7;0.926562;[0.924323, 0.934207, 0.929497, 0.933821, 0.934207, 0.934207, 0.926562]
sonar;3;0.628333;[0.611587, 0.54254, 0.640873, 0.545952, 0.649127, 0.63127, 0.638254]
sonar;5;0.643651;[0.588651, 0.55127, 0.60619, 0.52627, 0.647143, 0.564524, 0.653333]
sonar;7;0.625079;[0.579048, 0.556508, 0.595794, 0.547937, 0.645238, 0.568254, 0.618254]
ThoraricSurgery;3;0.835532;[0.829362, 0.780851, 0.83234, 0.802128, 0.780851, 0.780851, 0.83]
ThoraricSurgery;5;0.842553;[0.840213, 0.851064, 0.844681, 0.752766, 0.851064, 0.851064, 0.84383]
ThoraricSurgery;7;0.850638;[0.84617, 0.851064, 0.848936, 0.800213, 0.851064, 0.851064, 0.85]
vehicle;3;0.457028;[0.622665, 0.24449, 0.639351, 0.25801, 0.618517, 0.254357, 0.664464]
vehicle;5;0.45022;[0.61209, 0.247416, 0.636279, 0.25801, 0.611806, 0.255659, 0.67251]
vehicle;7;0.441163;[0.604968, 0.249509, 0.626399, 0.25801, 0.601253, 0.255078, 0.665866]
wdbc;3;0.947368;[0.915945, 0.530351, 0.905965, 0.370468, 0.945877, 0.386296, 0.948099]
wdbc;5;0.953986;[0.926481, 0.530351, 0.916618, 0.370468, 0.950292, 0.386296, 0.953645]
wdbc;7;0.957173;[0.926218, 0.554035, 0.909055, 0.370468, 0.950585, 0.3877, 0.959337]
