sep=;;;;;;
Dataset;k;accuracy;alpha;weights;individual_accs;time
seismic-bumps;3;93.421;1;[0.411, 0.000, 0.063, 0.044, 0.000, 0.000, 0.481];[0.922, 0.934, 0.922, 0.934, 0.933, 0.934, 0.923];164.308
seismic-bumps;5;93.421;0;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.929, 0.934, 0.930, 0.930, 0.934, 0.934, 0.928];121.825
seismic-bumps;5;93.421;0.2;[0.953, 0.000, 0.000, 0.000, 0.000, 0.000, 0.047];[0.927, 0.934, 0.930, 0.928, 0.934, 0.934, 0.925];132.292
seismic-bumps;5;93.421;0.4;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.928, 0.934, 0.929, 0.932, 0.934, 0.934, 0.927];120.498
seismic-bumps;5;93.421;0.3;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.927, 0.934, 0.932, 0.933, 0.934, 0.934, 0.933];128.107
seismic-bumps;5;93.421;0.5;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.929, 0.934, 0.928, 0.934, 0.934, 0.934, 0.927];120.285
seismic-bumps;5;93.421;0.6;[0.000, 0.000, 0.851, 0.000, 0.000, 0.000, 0.149];[0.929, 0.934, 0.927, 0.933, 0.934, 0.934, 0.930];134.76
seismic-bumps;5;93.421;0.9;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.929, 0.934, 0.927, 0.934, 0.934, 0.934, 0.930];118.506
seismic-bumps;5;93.421;1;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.929, 0.934, 0.927, 0.934, 0.934, 0.934, 0.930];119.238
seismic-bumps;5;93.421;0.8;[0.000, 0.000, 0.822, 0.000, 0.000, 0.000, 0.178];[0.929, 0.934, 0.927, 0.934, 0.934, 0.934, 0.927];130.179
seismic-bumps;5;93.421;1;[0.000, 0.000, 0.089, 0.000, 0.000, 0.000, 0.911];[0.929, 0.934, 0.927, 0.934, 0.934, 0.934, 0.930];124.814
seismic-bumps;5;93.382;0.7;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.928, 0.934, 0.929, 0.928, 0.934, 0.934, 0.927];118.527
seismic-bumps;5;93.343;0.1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.927, 0.934, 0.931, 0.928, 0.934, 0.934, 0.927];126.201
seismic-bumps;7;93.421;0;[0.982, 0.000, 0.000, 0.000, 0.000, 0.000, 0.018];[0.931, 0.934, 0.933, 0.934, 0.934, 0.934, 0.930];124.092
seismic-bumps;7;93.421;0.3;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.932, 0.933, 0.934, 0.934, 0.932];123.996
seismic-bumps;7;93.421;0.1;[0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.934, 0.914, 0.934, 0.934, 0.928];142.594
seismic-bumps;7;93.421;0.4;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.931, 0.934, 0.932, 0.934, 0.934, 0.934, 0.930];116.507
seismic-bumps;7;93.421;0.2;[0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.933, 0.914, 0.934, 0.934, 0.930];142.749
seismic-bumps;7;93.421;0.5;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.931, 0.934, 0.932, 0.934, 0.934, 0.934, 0.929];116.791
seismic-bumps;7;93.421;0.7;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.931, 0.934, 0.930, 0.929, 0.934, 0.934, 0.929];105.959
seismic-bumps;7;93.421;0.8;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.931, 0.934, 0.930, 0.934, 0.934, 0.934, 0.929];108.584
seismic-bumps;7;93.421;0.6;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.930, 0.933, 0.934, 0.934, 0.931];113.798
seismic-bumps;7;93.421;0.9;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.930, 0.934, 0.934, 0.934, 0.930];101.588
seismic-bumps;7;93.421;1;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.930, 0.934, 0.934, 0.934, 0.930];102.621
seismic-bumps;7;93.421;1;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.931, 0.934, 0.930, 0.934, 0.934, 0.934, 0.930];98.919
sonar;3;80.722;0.1;[0.293, 0.000, 0.000, 0.000, 0.021, 0.290, 0.396];[0.815, 0.520, 0.756, 0.528, 0.784, 0.530, 0.793];3.324
sonar;3;78.325;0.2;[0.000, 0.156, 0.000, 0.247, 0.000, 0.000, 0.597];[0.767, 0.505, 0.770, 0.528, 0.765, 0.531, 0.803];3.678
sonar;3;77.405;0.5;[0.037, 0.075, 0.000, 0.309, 0.000, 0.000, 0.580];[0.735, 0.509, 0.716, 0.525, 0.692, 0.532, 0.807];3.748
sonar;3;77.278;0;[0.000, 0.000, 0.238, 0.000, 0.013, 0.235, 0.514];[0.769, 0.472, 0.821, 0.528, 0.757, 0.525, 0.777];3.428
sonar;3;76.444;0.3;[0.161, 0.169, 0.000, 0.000, 0.000, 0.000, 0.670];[0.800, 0.511, 0.722, 0.534, 0.725, 0.530, 0.770];3.347
sonar;3;73.944;0.4;[0.000, 0.254, 0.000, 0.000, 0.000, 0.140, 0.605];[0.740, 0.548, 0.787, 0.544, 0.718, 0.525, 0.735];3.888
sonar;3;60.968;0.7;[0.000, 0.300, 0.000, 0.109, 0.000, 0.218, 0.373];[0.730, 0.530, 0.758, 0.529, 0.679, 0.539, 0.735];4.139
sonar;3;59.516;0.8;[0.057, 0.284, 0.000, 0.000, 0.000, 0.307, 0.351];[0.710, 0.535, 0.755, 0.528, 0.706, 0.525, 0.753];3.734
sonar;3;59.016;1;[0.000, 0.281, 0.000, 0.000, 0.000, 0.302, 0.417];[0.708, 0.536, 0.730, 0.531, 0.698, 0.531, 0.698];3.705
sonar;3;59.016;1;[0.000, 0.281, 0.000, 0.000, 0.000, 0.302, 0.417];[0.708, 0.536, 0.730, 0.531, 0.698, 0.531, 0.698];3.669
sonar;3;58.532;0.9;[0.162, 0.211, 0.000, 0.297, 0.000, 0.000, 0.329];[0.715, 0.535, 0.706, 0.523, 0.708, 0.524, 0.698];3.637
sonar;3;57.111;0.6;[0.000, 0.374, 0.000, 0.222, 0.000, 0.000, 0.404];[0.746, 0.538, 0.733, 0.530, 0.636, 0.528, 0.751];3.636
sonar;5;78.841;0.2;[0.000, 0.136, 0.000, 0.237, 0.000, 0.000, 0.626];[0.742, 0.510, 0.741, 0.533, 0.753, 0.530, 0.802];3.653
sonar;5;77.802;0;[0.000, 0.053, 0.173, 0.000, 0.002, 0.189, 0.583];[0.775, 0.450, 0.795, 0.527, 0.750, 0.529, 0.805];4.034
sonar;5;77.373;0.5;[0.000, 0.117, 0.000, 0.265, 0.000, 0.000, 0.618];[0.710, 0.488, 0.730, 0.521, 0.669, 0.529, 0.780];3.58
sonar;5;76.357;0.1;[0.312, 0.000, 0.000, 0.000, 0.077, 0.241, 0.369];[0.805, 0.523, 0.755, 0.531, 0.740, 0.530, 0.762];3.405
sonar;5;76.024;0.3;[0.159, 0.186, 0.000, 0.018, 0.000, 0.000, 0.637];[0.773, 0.517, 0.713, 0.537, 0.698, 0.530, 0.737];3.636
sonar;5;73.46;0.4;[0.064, 0.305, 0.000, 0.000, 0.000, 0.003, 0.629];[0.714, 0.536, 0.757, 0.527, 0.685, 0.527, 0.734];3.8
sonar;5;62.865;0.6;[0.079, 0.432, 0.000, 0.049, 0.000, 0.000, 0.441];[0.727, 0.518, 0.708, 0.530, 0.629, 0.516, 0.745];3.651
sonar;5;60.952;0.7;[0.005, 0.402, 0.026, 0.175, 0.000, 0.000, 0.392];[0.733, 0.531, 0.722, 0.530, 0.685, 0.546, 0.722];3.774
sonar;5;60.944;1;[0.000, 0.366, 0.012, 0.000, 0.000, 0.159, 0.464];[0.737, 0.530, 0.707, 0.530, 0.694, 0.525, 0.730];3.815
sonar;5;60.944;1;[0.000, 0.366, 0.012, 0.000, 0.000, 0.159, 0.464];[0.737, 0.530, 0.707, 0.530, 0.694, 0.525, 0.730];3.842
sonar;5;60.46;0.9;[0.016, 0.323, 0.000, 0.195, 0.000, 0.000, 0.466];[0.722, 0.520, 0.693, 0.531, 0.678, 0.527, 0.730];3.594
sonar;5;60.429;0.8;[0.136, 0.337, 0.000, 0.054, 0.000, 0.050, 0.423];[0.730, 0.532, 0.733, 0.530, 0.703, 0.517, 0.766];4.106
sonar;7;78.865;0;[0.000, 0.096, 0.222, 0.000, 0.000, 0.194, 0.487];[0.745, 0.449, 0.780, 0.525, 0.720, 0.525, 0.789];3.788
sonar;7;77.325;0.1;[0.310, 0.000, 0.000, 0.000, 0.000, 0.385, 0.305];[0.797, 0.521, 0.706, 0.531, 0.723, 0.530, 0.737];3.178
sonar;7;76.405;0.2;[0.000, 0.185, 0.000, 0.248, 0.000, 0.000, 0.567];[0.729, 0.504, 0.703, 0.528, 0.730, 0.528, 0.794];3.499
sonar;7;74.905;0.4;[0.000, 0.304, 0.054, 0.000, 0.000, 0.000, 0.641];[0.707, 0.515, 0.742, 0.527, 0.668, 0.537, 0.747];3.31
sonar;7;74.579;0.5;[0.000, 0.122, 0.000, 0.244, 0.000, 0.000, 0.633];[0.705, 0.502, 0.692, 0.525, 0.653, 0.530, 0.777];3.545
sonar;7;71.151;0.3;[0.130, 0.229, 0.069, 0.000, 0.000, 0.000, 0.572];[0.755, 0.510, 0.708, 0.520, 0.689, 0.530, 0.735];3.383
sonar;7;67.286;0.8;[0.046, 0.376, 0.000, 0.074, 0.000, 0.000, 0.504];[0.710, 0.540, 0.707, 0.528, 0.674, 0.520, 0.741];3.607
sonar;7;66.365;0.9;[0.000, 0.322, 0.070, 0.052, 0.000, 0.000, 0.556];[0.694, 0.512, 0.643, 0.528, 0.663, 0.528, 0.716];3.664
sonar;7;66.365;1;[0.000, 0.334, 0.000, 0.000, 0.000, 0.095, 0.571];[0.715, 0.526, 0.678, 0.527, 0.668, 0.525, 0.716];3.672
sonar;7;66.365;1;[0.000, 0.334, 0.000, 0.000, 0.000, 0.095, 0.571];[0.715, 0.526, 0.678, 0.527, 0.668, 0.525, 0.716];3.697
sonar;7;63.317;0.6;[0.226, 0.416, 0.000, 0.000, 0.000, 0.000, 0.358];[0.703, 0.520, 0.682, 0.530, 0.626, 0.503, 0.710];3.252
sonar;7;57.579;0.7;[0.003, 0.396, 0.000, 0.162, 0.000, 0.000, 0.439];[0.709, 0.525, 0.697, 0.527, 0.662, 0.530, 0.705];3.639
ThoraricSurgery;3;85.106;0;[0.275, 0.081, 0.057, 0.581, 0.000, 0.000, 0.006];[0.816, 0.804, 0.835, 0.851, 0.827, 0.828, 0.840];6.867
ThoraricSurgery;3;85.106;0.1;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];5.856
ThoraricSurgery;3;85.106;0.2;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];5.91
ThoraricSurgery;3;85.106;0.3;[0.842, 0.045, 0.000, 0.000, 0.000, 0.000, 0.113];[0.810, 0.801, 0.796, 0.851, 0.827, 0.843, 0.809];5.517
ThoraricSurgery;3;85.106;0.4;[0.249, 0.080, 0.087, 0.360, 0.003, 0.000, 0.222];[0.800, 0.801, 0.803, 0.851, 0.827, 0.828, 0.834];6.884
ThoraricSurgery;3;85.106;0.5;[0.377, 0.064, 0.043, 0.000, 0.022, 0.000, 0.494];[0.811, 0.807, 0.818, 0.851, 0.824, 0.828, 0.800];6.278
ThoraricSurgery;3;85.106;0.6;[0.692, 0.000, 0.025, 0.000, 0.061, 0.000, 0.222];[0.807, 0.802, 0.824, 0.851, 0.822, 0.827, 0.820];5.241
ThoraricSurgery;3;85.106;1;[0.659, 0.072, 0.000, 0.111, 0.000, 0.000, 0.158];[0.800, 0.806, 0.794, 0.851, 0.827, 0.827, 0.806];6.408
ThoraricSurgery;3;85.106;1;[0.659, 0.072, 0.000, 0.111, 0.000, 0.000, 0.158];[0.800, 0.806, 0.794, 0.851, 0.827, 0.827, 0.806];6.346
ThoraricSurgery;3;84.681;0.9;[0.672, 0.000, 0.000, 0.088, 0.000, 0.000, 0.240];[0.801, 0.806, 0.797, 0.851, 0.827, 0.827, 0.806];5.653
ThoraricSurgery;3;84.468;0.8;[0.575, 0.053, 0.000, 0.000, 0.000, 0.000, 0.373];[0.798, 0.806, 0.797, 0.849, 0.824, 0.827, 0.789];5.493
ThoraricSurgery;3;84.255;0.7;[0.663, 0.068, 0.000, 0.000, 0.000, 0.000, 0.269];[0.811, 0.793, 0.795, 0.851, 0.827, 0.827, 0.799];5.316
ThoraricSurgery;5;85.319;0.8;[0.833, 0.000, 0.000, 0.000, 0.034, 0.000, 0.133];[0.827, 0.833, 0.833, 0.850, 0.846, 0.851, 0.830];4.945
ThoraricSurgery;5;85.106;0;[0.890, 0.000, 0.052, 0.000, 0.000, 0.000, 0.058];[0.824, 0.834, 0.834, 0.851, 0.851, 0.851, 0.821];5.227
ThoraricSurgery;5;85.106;0.1;[0.000, 0.492, 0.223, 0.000, 0.000, 0.000, 0.285];[0.828, 0.828, 0.818, 0.851, 0.851, 0.851, 0.837];5.729
ThoraricSurgery;5;85.106;0.2;[0.000, 0.492, 0.223, 0.000, 0.000, 0.000, 0.285];[0.828, 0.828, 0.818, 0.851, 0.851, 0.851, 0.837];5.63
ThoraricSurgery;5;85.106;0.3;[0.000, 0.875, 0.007, 0.000, 0.000, 0.000, 0.118];[0.839, 0.834, 0.814, 0.851, 0.851, 0.851, 0.837];5.67
ThoraricSurgery;5;85.106;0.4;[0.110, 0.890, 0.000, 0.000, 0.000, 0.000, 0.000];[0.818, 0.825, 0.816, 0.851, 0.851, 0.851, 0.834];5.39
ThoraricSurgery;5;85.106;0.5;[0.000, 0.000, 0.058, 0.000, 0.000, 0.000, 0.942];[0.830, 0.837, 0.811, 0.851, 0.846, 0.851, 0.831];5.046
ThoraricSurgery;5;85.106;0.6;[0.000, 0.000, 0.000, 0.757, 0.000, 0.000, 0.243];[0.838, 0.831, 0.836, 0.830, 0.851, 0.851, 0.837];5.306
ThoraricSurgery;5;85.106;0.7;[0.000, 0.450, 0.114, 0.000, 0.000, 0.000, 0.436];[0.830, 0.825, 0.832, 0.851, 0.851, 0.851, 0.823];5.452
ThoraricSurgery;5;85.106;0.9;[0.453, 0.000, 0.133, 0.000, 0.000, 0.000, 0.414];[0.829, 0.833, 0.829, 0.851, 0.851, 0.851, 0.834];5.171
ThoraricSurgery;5;85.106;1;[0.441, 0.000, 0.191, 0.000, 0.000, 0.000, 0.369];[0.827, 0.833, 0.831, 0.851, 0.851, 0.851, 0.834];5.206
ThoraricSurgery;5;85.106;1;[0.441, 0.000, 0.191, 0.000, 0.000, 0.000, 0.369];[0.827, 0.833, 0.831, 0.851, 0.851, 0.851, 0.834];5.209
ThoraricSurgery;7;85.106;0;[0.643, 0.000, 0.000, 0.000, 0.000, 0.000, 0.357];[0.827, 0.841, 0.833, 0.851, 0.851, 0.851, 0.829];4.817
ThoraricSurgery;7;85.106;0.1;[0.347, 0.000, 0.291, 0.000, 0.000, 0.000, 0.362];[0.830, 0.830, 0.833, 0.851, 0.851, 0.851, 0.847];5.119
ThoraricSurgery;7;85.106;0.2;[0.347, 0.000, 0.291, 0.000, 0.000, 0.000, 0.362];[0.830, 0.830, 0.833, 0.851, 0.851, 0.851, 0.847];5.08
ThoraricSurgery;7;85.106;0.3;[0.861, 0.000, 0.018, 0.000, 0.000, 0.000, 0.121];[0.840, 0.842, 0.828, 0.851, 0.851, 0.851, 0.847];5.09
ThoraricSurgery;7;85.106;0.4;[0.000, 0.000, 0.035, 0.000, 0.000, 0.000, 0.965];[0.831, 0.830, 0.844, 0.851, 0.851, 0.851, 0.827];4.976
ThoraricSurgery;7;85.106;0.5;[0.000, 0.000, 0.292, 0.000, 0.000, 0.000, 0.708];[0.835, 0.845, 0.836, 0.849, 0.851, 0.851, 0.831];5.043
ThoraricSurgery;7;85.106;0.6;[0.000, 0.991, 0.000, 0.000, 0.000, 0.000, 0.009];[0.841, 0.839, 0.841, 0.850, 0.851, 0.851, 0.845];5.322
ThoraricSurgery;7;85.106;0.7;[0.000, 0.484, 0.017, 0.000, 0.000, 0.000, 0.499];[0.835, 0.809, 0.833, 0.851, 0.851, 0.851, 0.839];5.547
ThoraricSurgery;7;85.106;0.8;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.827, 0.840, 0.835, 0.843, 0.851, 0.851, 0.833];4.602
ThoraricSurgery;7;85.106;0.9;[0.842, 0.000, 0.158, 0.000, 0.000, 0.000, 0.000];[0.838, 0.839, 0.836, 0.851, 0.851, 0.851, 0.844];4.974
ThoraricSurgery;7;85.106;1;[0.870, 0.000, 0.130, 0.000, 0.000, 0.000, 0.000];[0.837, 0.839, 0.838, 0.851, 0.851, 0.851, 0.844];5.055
ThoraricSurgery;7;85.106;1;[0.870, 0.000, 0.130, 0.000, 0.000, 0.000, 0.000];[0.837, 0.839, 0.838, 0.851, 0.851, 0.851, 0.844];5.043
vehicle;3;30.318;0.2;[0.000, 0.000, 0.859, 0.000, 0.000, 0.000, 0.141];[0.612, 0.245, 0.608, 0.264, 0.685, 0.256, 0.643];15.815
vehicle;3;26.993;0.8;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.657, 0.245, 0.651, 0.256, 0.671, 0.256, 0.685];14.297
vehicle;3;26.754;0.6;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.656, 0.245, 0.580, 0.256, 0.674, 0.256, 0.666];14.71
vehicle;3;26.754;0.7;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.658, 0.245, 0.625, 0.256, 0.689, 0.256, 0.666];14.26
vehicle;3;26.754;0.9;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.654, 0.245, 0.625, 0.256, 0.671, 0.256, 0.666];14.51
vehicle;3;26.754;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.654, 0.245, 0.625, 0.256, 0.671, 0.256, 0.666];14.576
vehicle;3;26.754;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.654, 0.245, 0.625, 0.256, 0.671, 0.256, 0.666];14.589
vehicle;3;26.159;0;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.664, 0.245, 0.624, 0.256, 0.702, 0.232, 0.701];14.047
vehicle;3;25.685;0.1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.660, 0.245, 0.651, 0.355, 0.702, 0.256, 0.647];14.466
vehicle;3;24.49;0.5;[0.000, 0.000, 0.022, 0.000, 0.000, 0.000, 0.978];[0.654, 0.245, 0.570, 0.258, 0.671, 0.256, 0.699];15.853
vehicle;3;22.587;0.3;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.622, 0.246, 0.678, 0.256, 0.671, 0.256, 0.620];14.899
vehicle;3;19.61;0.4;[0.000, 0.000, 0.127, 0.000, 0.000, 0.000, 0.873];[0.597, 0.245, 0.580, 0.230, 0.674, 0.256, 0.685];15.667
vehicle;5;30.316;0.2;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.616, 0.244, 0.615, 0.232, 0.680, 0.256, 0.650];15.211
vehicle;5;27.235;0.6;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.660, 0.244, 0.592, 0.256, 0.685, 0.256, 0.684];14.219
vehicle;5;27.235;0.7;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.660, 0.244, 0.637, 0.256, 0.689, 0.256, 0.684];14.349
vehicle;5;27.235;0.9;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.655, 0.244, 0.637, 0.256, 0.684, 0.256, 0.684];14.555
vehicle;5;27.235;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.655, 0.244, 0.637, 0.256, 0.684, 0.256, 0.684];14.409
vehicle;5;27.235;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.655, 0.244, 0.637, 0.256, 0.684, 0.256, 0.684];14.478
vehicle;5;27.114;0.8;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.659, 0.244, 0.662, 0.256, 0.684, 0.256, 0.687];14.221
vehicle;5;25.801;0.1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.658, 0.244, 0.640, 0.324, 0.700, 0.256, 0.631];14.601
vehicle;5;25.571;0.5;[0.000, 0.000, 0.096, 0.000, 0.000, 0.000, 0.904];[0.655, 0.244, 0.586, 0.238, 0.684, 0.256, 0.694];15.43
vehicle;5;25.436;0;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.674, 0.244, 0.620, 0.256, 0.700, 0.268, 0.705];14.353
vehicle;5;22.938;0.3;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.625, 0.243, 0.680, 0.256, 0.684, 0.256, 0.621];14.953
vehicle;5;19.731;0.4;[0.000, 0.000, 0.033, 0.000, 0.000, 0.000, 0.967];[0.604, 0.244, 0.583, 0.235, 0.660, 0.256, 0.687];15.5
vehicle;7;30.316;0.2;[0.000, 0.000, 0.992, 0.000, 0.000, 0.000, 0.008];[0.618, 0.242, 0.608, 0.255, 0.691, 0.256, 0.643];15.199
vehicle;7;26.993;0.6;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.655, 0.242, 0.588, 0.256, 0.693, 0.256, 0.691];13.991
vehicle;7;26.993;0.7;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.670, 0.242, 0.644, 0.256, 0.693, 0.256, 0.691];13.942
vehicle;7;26.993;0.9;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.666, 0.242, 0.644, 0.256, 0.692, 0.256, 0.691];14.225
vehicle;7;26.993;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.666, 0.242, 0.644, 0.256, 0.692, 0.256, 0.691];14.152
vehicle;7;26.993;1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.666, 0.242, 0.644, 0.256, 0.692, 0.256, 0.691];14.041
vehicle;7;26.405;0.8;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.670, 0.242, 0.657, 0.256, 0.692, 0.256, 0.694];13.97
vehicle;7;26.159;0;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.672, 0.242, 0.620, 0.256, 0.709, 0.229, 0.717];13.519
vehicle;7;25.801;0.1;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.658, 0.242, 0.632, 0.264, 0.709, 0.256, 0.642];13.943
vehicle;7;25.568;0.5;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.666, 0.242, 0.581, 0.234, 0.692, 0.256, 0.695];13.925
vehicle;7;24.937;0.4;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];[0.591, 0.242, 0.582, 0.223, 0.667, 0.256, 0.694];13.751
vehicle;7;23.184;0.3;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];[0.634, 0.243, 0.669, 0.256, 0.692, 0.256, 0.618];14.304
wdbc;3;92.285;0.5;[0.000, 0.000, 0.143, 0.000, 0.004, 0.030, 0.824];[0.904, 0.546, 0.801, 0.374, 0.895, 0.389, 0.902];12.455
wdbc;3;89.969;1;[0.000, 0.000, 0.331, 0.000, 0.000, 0.000, 0.669];[0.903, 0.546, 0.811, 0.374, 0.920, 0.389, 0.910];10.064
wdbc;3;87.843;0.6;[0.000, 0.000, 0.161, 0.000, 0.000, 0.025, 0.814];[0.900, 0.546, 0.816, 0.374, 0.901, 0.389, 0.902];12.066
wdbc;3;87.502;0.7;[0.000, 0.000, 0.220, 0.000, 0.000, 0.000, 0.780];[0.896, 0.546, 0.811, 0.374, 0.917, 0.389, 0.902];9.939
wdbc;3;83.072;0.9;[0.000, 0.000, 0.374, 0.000, 0.000, 0.000, 0.626];[0.903, 0.546, 0.811, 0.374, 0.920, 0.389, 0.910];10.092
wdbc;3;79.724;0.8;[0.000, 0.000, 0.385, 0.000, 0.000, 0.000, 0.615];[0.903, 0.546, 0.811, 0.374, 0.920, 0.389, 0.910];10.085
wdbc;3;78.13;1;[0.000, 0.000, 0.391, 0.000, 0.000, 0.000, 0.609];[0.903, 0.546, 0.811, 0.374, 0.920, 0.389, 0.910];10.07
wdbc;3;77.61;0;[0.000, 0.000, 0.382, 0.000, 0.000, 0.000, 0.618];[0.870, 0.546, 0.817, 0.374, 0.895, 0.389, 0.902];10.219
wdbc;3;67.807;0.3;[0.000, 0.126, 0.554, 0.000, 0.000, 0.000, 0.320];[0.901, 0.546, 0.810, 0.374, 0.890, 0.389, 0.893];11.567
wdbc;3;63.641;0.1;[0.000, 0.331, 0.268, 0.000, 0.000, 0.000, 0.401];[0.885, 0.546, 0.821, 0.374, 0.898, 0.374, 0.894];11.585
wdbc;3;63.307;0.2;[0.601, 0.000, 0.000, 0.000, 0.000, 0.000, 0.399];[0.868, 0.546, 0.892, 0.374, 0.890, 0.389, 0.904];9.683
wdbc;3;49.737;0.4;[0.128, 0.000, 0.312, 0.000, 0.000, 0.000, 0.559];[0.875, 0.542, 0.805, 0.374, 0.907, 0.389, 0.903];10.388
wdbc;5;91.944;0.5;[0.000, 0.067, 0.079, 0.000, 0.000, 0.040, 0.815];[0.899, 0.509, 0.804, 0.374, 0.899, 0.385, 0.893];13.858
wdbc;5;91.577;0.6;[0.000, 0.000, 0.166, 0.000, 0.000, 0.008, 0.826];[0.897, 0.509, 0.824, 0.374, 0.907, 0.385, 0.895];12.193
wdbc;5;88.912;1;[0.000, 0.000, 0.281, 0.000, 0.000, 0.000, 0.719];[0.899, 0.509, 0.810, 0.374, 0.919, 0.385, 0.907];10.131
wdbc;5;88.048;0.7;[0.000, 0.000, 0.252, 0.000, 0.000, 0.000, 0.748];[0.894, 0.509, 0.810, 0.374, 0.916, 0.385, 0.893];10.187
wdbc;5;87.486;0.9;[0.000, 0.000, 0.296, 0.000, 0.000, 0.000, 0.704];[0.899, 0.509, 0.810, 0.374, 0.919, 0.385, 0.907];10.069
wdbc;5;83.419;1;[0.000, 0.226, 0.097, 0.000, 0.000, 0.000, 0.678];[0.899, 0.509, 0.810, 0.374, 0.919, 0.385, 0.907];11.901
wdbc;5;83.249;0;[0.000, 0.000, 0.333, 0.000, 0.000, 0.000, 0.667];[0.888, 0.509, 0.831, 0.374, 0.895, 0.385, 0.903];10.563
wdbc;5;77.603;0.4;[0.023, 0.000, 0.392, 0.000, 0.000, 0.012, 0.573];[0.884, 0.510, 0.802, 0.374, 0.908, 0.385, 0.898];12.686
wdbc;5;77.077;0.8;[0.000, 0.000, 0.339, 0.000, 0.000, 0.000, 0.661];[0.899, 0.509, 0.810, 0.374, 0.919, 0.385, 0.907];10.126
wdbc;5;68.144;0.3;[0.000, 0.055, 0.606, 0.000, 0.000, 0.000, 0.338];[0.898, 0.509, 0.811, 0.374, 0.888, 0.385, 0.900];11.867
