Dataset;k;alpha;accuracy;weights;time
vehicle;3;0.6;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.426
vehicle;3;0.7;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.249
vehicle;3;0.8;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.205
vehicle;3;0.9;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.653
vehicle;3;1.0;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.655
vehicle;3;1.0;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.694
vehicle;5;0.0;26.159;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];10.749
vehicle;5;0.1;25.685;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.134
vehicle;5;0.2;29.363;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.565
vehicle;5;0.3;25.443;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.474
vehicle;5;0.4;24.078;[0.000, 0.002, 0.000, 0.000, 0.000, 0.061, 0.937];15.454
vehicle;5;0.5;24.866;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.19
vehicle;5;0.6;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.282
vehicle;5;0.7;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.328
vehicle;5;0.8;26.405;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.045
vehicle;5;0.9;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.29
vehicle;5;1.0;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.249
vehicle;5;1.0;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.313
vehicle;7;0.0;26.159;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];10.765
vehicle;7;0.1;25.801;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.197
vehicle;7;0.2;28.891;[0.000, 0.000, 0.958, 0.000, 0.000, 0.000, 0.042];12.197
vehicle;7;0.3;23.661;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.586
vehicle;7;0.4;25.487;[0.000, 0.000, 0.000, 0.000, 0.088, 0.000, 0.912];11.724
vehicle;7;0.5;25.443;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.291
vehicle;7;0.6;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.074
vehicle;7;0.7;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.138
vehicle;7;0.8;26.405;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.058
vehicle;7;0.9;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.188
vehicle;7;1.0;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.403
vehicle;7;1.0;26.875;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.494
wdbc;3;0.0;62.443;[0.000, 0.000, 0.487, 0.000, 0.000, 0.000, 0.513];8.726
wdbc;3;0.1;63.112;[0.000, 0.000, 0.519, 0.000, 0.000, 0.044, 0.438];10.35
wdbc;3;0.2;63.13;[0.625, 0.000, 0.000, 0.000, 0.000, 0.000, 0.375];8.17
wdbc;3;0.3;66.572;[0.000, 0.000, 0.623, 0.000, 0.000, 0.000, 0.377];8.61
wdbc;3;0.4;64.351;[0.234, 0.000, 0.285, 0.000, 0.000, 0.000, 0.481];8.851
wdbc;3;0.5;84.156;[0.000, 0.000, 0.149, 0.000, 0.000, 0.057, 0.794];10.406
wdbc;3;0.6;87.853;[0.000, 0.062, 0.216, 0.000, 0.000, 0.000, 0.723];10.076
wdbc;3;0.7;85.899;[0.000, 0.000, 0.306, 0.000, 0.000, 0.000, 0.694];8.534
wdbc;3;0.8;86.42;[0.000, 0.000, 0.391, 0.000, 0.000, 0.000, 0.609];8.682
wdbc;3;0.9;82.733;[0.000, 0.000, 0.343, 0.000, 0.000, 0.000, 0.657];8.546
wdbc;3;1.0;71.429;[0.000, 0.000, 0.401, 0.000, 0.000, 0.000, 0.599];8.722
wdbc;3;1.0;77.25;[0.000, 0.000, 0.351, 0.000, 0.000, 0.000, 0.649];8.728
wdbc;5;0.0;68.608;[0.000, 0.000, 0.467, 0.000, 0.000, 0.000, 0.533];8.29
wdbc;5;0.1;63.465;[0.000, 0.000, 0.529, 0.000, 0.000, 0.012, 0.459];9.963
wdbc;5;0.2;62.953;[0.000, 0.000, 0.553, 0.000, 0.000, 0.000, 0.447];8.282
wdbc;5;0.3;68.319;[0.000, 0.000, 0.607, 0.000, 0.000, 0.000, 0.393];8.14
wdbc;5;0.4;65.038;[0.003, 0.000, 0.558, 0.000, 0.000, 0.000, 0.439];8.466
wdbc;5;0.5;89.804;[0.000, 0.000, 0.145, 0.000, 0.013, 0.000, 0.842];8.447
wdbc;5;0.6;89.265;[0.000, 0.000, 0.153, 0.000, 0.000, 0.014, 0.833];10.008
wdbc;5;0.7;82.931;[0.000, 0.000, 0.282, 0.000, 0.000, 0.000, 0.718];8.146
wdbc;5;0.8;79.553;[0.000, 0.000, 0.333, 0.000, 0.000, 0.000, 0.667];8.075
wdbc;5;0.9;76.736;[0.000, 0.000, 0.251, 0.000, 0.000, 0.000, 0.749];8.215
wdbc;5;1.0;79.538;[0.000, 0.000, 0.331, 0.000, 0.000, 0.000, 0.669];8.251
wdbc;5;1.0;81.327;[0.000, 0.000, 0.337, 0.000, 0.000, 0.000, 0.663];8.306
wdbc;7;0.0;71.433;[0.000, 0.000, 0.402, 0.000, 0.000, 0.000, 0.598];8.347
wdbc;7;0.1;63.289;[0.000, 0.000, 0.572, 0.000, 0.000, 0.000, 0.428];8.24
wdbc;7;0.2;62.953;[0.577, 0.000, 0.000, 0.000, 0.000, 0.000, 0.423];7.924
wdbc;7;0.3;67.458;[0.000, 0.000, 0.645, 0.000, 0.000, 0.000, 0.355];8.102
wdbc;7;0.4;70.717;[0.192, 0.000, 0.265, 0.000, 0.000, 0.000, 0.543];8.493
wdbc;7;0.5;88.404;[0.000, 0.000, 0.205, 0.000, 0.000, 0.000, 0.795];8.407
wdbc;7;0.6;85.025;[0.000, 0.000, 0.168, 0.000, 0.000, 0.000, 0.832];8.506
wdbc;7;0.7;86.057;[0.000, 0.000, 0.262, 0.000, 0.000, 0.000, 0.738];9.084
wdbc;7;0.8;79.031;[0.000, 0.000, 0.343, 0.000, 0.000, 0.000, 0.657];9.155
wdbc;7;0.9;79.716;[0.000, 0.000, 0.292, 0.000, 0.000, 0.000, 0.708];8.979
wdbc;7;1.0;82.184;[0.000, 0.000, 0.289, 0.000, 0.000, 0.000, 0.711];9.245
wdbc;7;1.0;77.596;[0.000, 0.000, 0.356, 0.000, 0.000, 0.000, 0.644];9.943
