sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;5;67.871429;[0.182952, 0.148758, 0.209727, 0.0955455, 0.178325, 0, 0.184693];[0.666333, 0.545333, 0.688333, 0.582333, 0.689333, 0.581333, 0.687667]
bupa;7;69.009524;[0.182448, 0.145095, 0.193088, 0.0836935, 0.162924, 0, 0.232751];[0.687333, 0.529333, 0.689, 0.582333, 0.706, 0.584333, 0.693333]
bupa;3;66.395238;[0.0685448, 0.143166, 0.120412, 0.021145, 0.238748, 0.0815865, 0.326398];[0.654, 0.524, 0.639, 0.577667, 0.676333, 0.552333, 0.647]
sonar;7;75.746032;[0.216091, 0.125978, 0, 0, 0.162819, 0.0549719, 0.440139];[0.735, 0.395, 0.717222, 0.562778, 0.701111, 0.595, 0.767222]
sonar;5;80.460317;[0.0882993, 0.134908, 0, 8.42526e-06, 0.201719, 0, 0.575066];[0.781667, 0.424444, 0.770556, 0.573889, 0.752778, 0.611111, 0.801111]
sonar;3;80.944444;[0.203618, 0.0752165, 0.0567619, 0.000547979, 0.218438, 0.180848, 0.264569];[0.795556, 0.441111, 0.785556, 0.633333, 0.792778, 0.658889, 0.806667]
ionosphere;3;90.064815;[0.011009, 0, 0.119044, 0.04157, 0, 0, 0.828377];[0.852903, 0.456129, 0.858387, 0.554516, 0.595161, 0.550323, 0.91129]
pima;7;73.115671;[0.2391, 0.0397448, 0.165627, 0.127633, 0.167964, 0, 0.259932];[0.721765, 0.595735, 0.685441, 0.359559, 0.675294, 0.470735, 0.714265]
pima;5;72.010043;[0.219136, 0.0602801, 0.160389, 0.105545, 0.184594, 0.000194894, 0.269862];[0.709706, 0.595735, 0.673382, 0.374706, 0.665882, 0.455735, 0.703676]
pima;3;69.849697;[0.246505, 0.159503, 0.0968266, 0.131969, 0.106873, 0.0619566, 0.196366];[0.690882, 0.601912, 0.648235, 0.497059, 0.654265, 0.467647, 0.687206]
ionosphere;5;89.250000;[0.158848, 0, 0, 0.0213992, 1.8659e-10, 1.80944e-10, 0.819753];[0.853871, 0.428065, 0.849677, 0.563548, 0.611613, 0.58, 0.897742]
ionosphere;7;88.935185;[0.053787, 0, 0.0489572, 0.0241493, 1.12252e-11, 1.12966e-11, 0.873106];[0.842903, 0.44129, 0.845161, 0.56871, 0.591613, 0.580968, 0.894194]
ThoraricSurgery;3;84.340426;[0, 0, 0.0637174, 0.15494, 0.336752, 0.336752, 0.107839];[0.809524, 0.830714, 0.814524, 0.704762, 0.830476, 0.854286, 0.822857]
ThoraricSurgery;5;84.829787;[0.166667, 0, 0, 0.119658, 0.271368, 0.271368, 0.17094];[0.843571, 0.83119, 0.838333, 0.83119, 0.830476, 0.835238, 0.843333]
wdbc;3;95.261209;[0, 0, 0.273137, 6.99306e-12, 0.107156, 0.0278276, 0.59188];[0.9176, 0.561, 0.9232, 0.363, 0.9446, 0.3766, 0.956]
ThoraricSurgery;7;84.787234;[0, 0.255411, 0, 0.0909091, 0.255411, 0.255411, 0.142857];[0.847143, 0.852857, 0.845238, 0.839286, 0.830476, 0.831429, 0.850952]
wdbc;7;95.420078;[0, 0, 0.238427, 1.74604e-11, 0.133789, 0.0346981, 0.593085];[0.9252, 0.607, 0.9242, 0.363, 0.9402, 0.3776, 0.9504]
wdbc;5;95.279727;[0, 0, 0.268805, 1.25728e-15, 0.135375, 0.0285401, 0.56728];[0.926, 0.5982, 0.927, 0.363, 0.9448, 0.3766, 0.9516]
vehicle;3;46.020349;[0.189937, 0.0170713, 0.221091, 0.271448, 0.124917, 0, 0.175535];[0.664, 0.2476, 0.674267, 0.256933, 0.627467, 0.255467, 0.677467]
vehicle;5;46.790052;[0.167571, 0, 0.243119, 0.24331, 0.151927, 0.0438347, 0.150238];[0.653867, 0.251733, 0.673867, 0.256933, 0.6352, 0.254, 0.6752]
vehicle;7;46.818475;[0.149642, 0, 0.20392, 0.195637, 0.0798671, 0.102169, 0.268766];[0.643867, 0.253333, 0.668, 0.256933, 0.6536, 0.254267, 0.680267]
biodegradation;3;82.220157;[0.229745, 0.0473968, 0.0336051, 0.0538355, 0.0473967, 0.0473968, 0.540624];[0.751064, 0.613191, 0.690426, 0.627447, 0.590638, 0.602021, 0.824574]
biodegradation;5;83.107416;[0.247682, 0.0345606, 0.0281719, 0.069312, 0.0345606, 0.0345606, 0.551152];[0.759574, 0.636596, 0.71383, 0.638191, 0.605106, 0.605426, 0.836383]
biodegradation;7;83.540912;[0.206064, 0.0433736, 0.0263848, 0.0523844, 0.0433736, 0.0433736, 0.585046];[0.754468, 0.636596, 0.712766, 0.635532, 0.605106, 0.625638, 0.838617]
seismic-bumps;3;93.382117;[0.0305048, 0.191819, 0.140949, 0.0853797, 0.191819, 0.191819, 0.16771];[0.917931, 0.932888, 0.917672, 0.912414, 0.932759, 0.932888, 0.919957]
seismic-bumps;7;93.370443;[0.070922, 0, 0.0780142, 0.780142, 0, 0, 0.070922];[0.930043, 0.932888, 0.930819, 0.931034, 0.932759, 0.932888, 0.92931]
seismic-bumps;5;93.377982;[0.0110865, 0.22562, 0.0526316, 1.06357e-09, 0.225619, 0.225619, 0.259424];[0.927026, 0.932888, 0.927845, 0.928103, 0.932759, 0.932888, 0.927629]
