sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;3;60.000000;[0.0310721, 0.207369, 0.0512402, 0.337389, 0.235639, 0, 0.13729];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
bupa;7;60.000000;[0.0310721, 0.207369, 0.0512402, 0.337389, 0.235639, 0, 0.13729];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
bupa;5;60.000000;[0.0310721, 0.207369, 0.0512402, 0.337389, 0.235639, 0, 0.13729];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
sonar;5;57.931818;[0, 0.109285, 0, 0.0391843, 0.148032, 0.104637, 0.598862];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
sonar;3;57.931818;[0, 0.109285, 0, 0.0391843, 0.148032, 0.104637, 0.598862];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
sonar;7;57.931818;[0, 0.109285, 0, 0.0391843, 0.148032, 0.104637, 0.598862];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
ionosphere;3;91.595960;[0.0580958, 0.200053, 0.188811, 0.0104239, 0.0104239, 0.0104239, 0.521768];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
pima;7;70.111888;[0, 0.175436, 0.00921233, 0.172934, 0.20628, 0.0938639, 0.342273];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
pima;5;70.111888;[0, 0.175436, 0.00921233, 0.172934, 0.20628, 0.0938639, 0.342273];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
pima;3;70.111888;[0, 0.175436, 0.00921233, 0.172934, 0.20628, 0.0938639, 0.342273];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
ionosphere;5;91.595960;[0.0580958, 0.200053, 0.188811, 0.0104239, 0.0104239, 0.0104239, 0.521768];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
ionosphere;7;91.595960;[0.0580958, 0.200053, 0.188811, 0.0104239, 0.0104239, 0.0104239, 0.521768];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
wdbc;3;95.781109;[0, 0.00597477, 0.343719, 1.46859e-10, 0.208127, 0.0255726, 0.416607];[0.944, 0.5036, 0.9236, 0.3812, 0.9444, 0.4008, 0.9476]
ThoraricSurgery;3;80.651812;[0.151289, 0.0169095, 0.121031, 0.101457, 0.0169095, 0.0169095, 0.575495];[0.8055, 0.846, 0.799, 0.8345, 0.8365, 0.8185, 0.825]
ThoraricSurgery;5;80.651812;[0.151289, 0.0169095, 0.121031, 0.101457, 0.0169095, 0.0169095, 0.575495];[0.8055, 0.846, 0.799, 0.8345, 0.8365, 0.8185, 0.825]
wdbc;5;95.781109;[0, 0.00597477, 0.343719, 1.46859e-10, 0.208127, 0.0255726, 0.416607];[0.944, 0.5036, 0.9236, 0.3812, 0.9444, 0.4008, 0.9476]
ThoraricSurgery;7;80.651812;[0.151289, 0.0169095, 0.121031, 0.101457, 0.0169095, 0.0169095, 0.575495];[0.8055, 0.846, 0.799, 0.8345, 0.8365, 0.8185, 0.825]
wdbc;7;95.781109;[0, 0.00597477, 0.343719, 1.46859e-10, 0.208127, 0.0255726, 0.416607];[0.944, 0.5036, 0.9236, 0.3812, 0.9444, 0.4008, 0.9476]
vehicle;3;45.972093;[0, 0, 0.33679, 0.306248, 0.120895, 0.0161289, 0.219938];[0.623514, 0.235946, 0.625946, 0.267838, 0.644595, 0.275946, 0.674865]
vehicle;7;45.972093;[0, 0, 0.33679, 0.306248, 0.120895, 0.0161289, 0.219938];[0.623514, 0.235946, 0.625946, 0.267838, 0.644595, 0.275946, 0.674865]
vehicle;5;45.972093;[0, 0, 0.33679, 0.306248, 0.120895, 0.0161289, 0.219938];[0.623514, 0.235946, 0.625946, 0.267838, 0.644595, 0.275946, 0.674865]
biodegradation;3;78.938868;[0.186669, 0.0290708, 0.0211084, 0.0835274, 0.0290709, 0.0290708, 0.621483];[0.697826, 0.531522, 0.663478, 0.642391, 0.62087, 0.537174, 0.773696]
biodegradation;5;78.938868;[0.186669, 0.0290708, 0.0211084, 0.0835274, 0.0290709, 0.0290708, 0.621483];[0.697826, 0.531522, 0.663478, 0.642391, 0.62087, 0.537174, 0.773696]
biodegradation;7;78.938868;[0.186669, 0.0290708, 0.0211084, 0.0835274, 0.0290709, 0.0290708, 0.621483];[0.697826, 0.531522, 0.663478, 0.642391, 0.62087, 0.537174, 0.773696]
seismic-bumps;3;93.441362;[0.082001, 0.170529, 0.0530865, 0.0870624, 0.17053, 0.17053, 0.266262];[0.923362, 0.906466, 0.919483, 0.865517, 0.932845, 0.932759, 0.929828]
seismic-bumps;7;93.441362;[0.082001, 0.170529, 0.0530865, 0.0870624, 0.17053, 0.17053, 0.266262];[0.923362, 0.906466, 0.919483, 0.865517, 0.932845, 0.932759, 0.929828]
seismic-bumps;5;93.441362;[0.082001, 0.170529, 0.0530865, 0.0870624, 0.17053, 0.17053, 0.266262];[0.923362, 0.906466, 0.919483, 0.865517, 0.932845, 0.932759, 0.929828]
