sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;3;67.155556;[0.253291, 0.239783, 0, 0.240294, 0.266631, 0, 0];[0.614, 0.489333, 0.628, 0.597333, 0.597333, 0.601333, 0.652]
bupa;5;72.555556;[0.0921483, 0.230776, 0.289394, 0.197573, 0, 0, 0.190109];[0.648667, 0.498667, 0.654667, 0.596, 0.666667, 0.600667, 0.662667]
bupa;7;71.355556;[0, 0.246719, 0.252387, 0.217045, 0.118324, 0, 0.165525];[0.660667, 0.544, 0.649333, 0.594, 0.67, 0.601333, 0.674]
sonar;5;61.727273;[0, 0.0925811, 0.131187, 0.186096, 0.0197167, 0, 0.570419];[0.825556, 0.474444, 0.833333, 0.615556, 0.841111, 0.684444, 0.872222]
sonar;3;59.750000;[0, 0.0931934, 0, 0.111731, 0.173501, 0.0911287, 0.530445];[0.882222, 0.47, 0.848889, 0.611111, 0.89, 0.688889, 0.887778]
sonar;7;54.886364;[0.131752, 0.0752045, 0.125534, 0.147936, 0, 0.174452, 0.345121];[0.787778, 0.467778, 0.811111, 0.606667, 0.825556, 0.681111, 0.844444]
pima;7;77.440559;[0.175725, 0.142245, 0.0967774, 0.0830788, 0.143472, 0, 0.358701];[0.738235, 0.603824, 0.686471, 0.368824, 0.693824, 0.486471, 0.737059]
pima;5;75.356643;[0.231311, 0.118495, 0.153164, 0.0853889, 0.113269, 0, 0.298372];[0.746765, 0.586176, 0.685882, 0.413235, 0.684706, 0.473824, 0.739412]
pima;3;73.515152;[0.199816, 0.137372, 0.121268, 0.0765613, 0.140721, 0, 0.324261];[0.728235, 0.545, 0.681765, 0.421765, 0.670588, 0.480882, 0.721176]
ionosphere;3;92.151515;[0.0337635, 0.0716366, 0.280264, 0.0370595, 0.0370595, 0.0370595, 0.503157];[0.887333, 0.397333, 0.858667, 0.544667, 0.502667, 0.582667, 0.944]
ionosphere;5;89.929293;[0, 0.129109, 0.183816, 0.0312076, 0.0312075, 0.0312075, 0.593453];[0.889333, 0.447333, 0.862667, 0.553333, 0.560667, 0.563333, 0.930667]
ionosphere;7;89.893939;[0, 0.140534, 0.116845, 0.0356509, 0.035651, 0.0356509, 0.635669];[0.890667, 0.444, 0.854, 0.562667, 0.571333, 0.569333, 0.926667]
ThoraricSurgery;5;83.222826;[0, 0, 0, 0.153846, 0, 0, 0.846154];[0.828, 0.846, 0.8375, 0.844, 0.7845, 0.8185, 0.8395]
ThoraricSurgery;7;85.362319;[0, 0, 0, 0.166667, 0, 0, 0.833333];[0.8385, 0.846, 0.84, 0.8435, 0.8445, 0.8185, 0.8385]
ThoraricSurgery;3;85.362319;[0.0761155, 0.126859, 0, 0.120735, 0.126859, 0.126859, 0.422572];[0.8055, 0.846, 0.799, 0.8345, 0.8365, 0.8185, 0.825]
wdbc;7;95.745127;[0, 0, 0.261756, 4.01714e-12, 0.274086, 0.0200621, 0.444096];[0.9436, 0.5912, 0.9092, 0.3812, 0.9456, 0.408, 0.9512]
wdbc;3;96.134933;[0.123369, 0.00618002, 0.174861, 1.36404e-10, 0.093041, 0.0185737, 0.583975];[0.944, 0.5036, 0.9236, 0.3812, 0.9444, 0.4008, 0.9476]
wdbc;5;96.488756;[0, 0.0112528, 0.274171, 1.80101e-12, 0.245017, 0.0223268, 0.447232];[0.9456, 0.5652, 0.9176, 0.3812, 0.9484, 0.4044, 0.9516]
vehicle;3;45.750166;[0.0695308, 0, 0.19947, 0.187888, 0.176937, 0.138949, 0.227226];[0.623514, 0.235946, 0.625946, 0.267838, 0.644595, 0.275946, 0.674865]
vehicle;5;46.490365;[0.24934, 0.0403726, 0.167157, 0.0545937, 0.0191486, 0.232596, 0.236792];[0.615946, 0.240811, 0.625135, 0.267838, 0.633243, 0.275946, 0.674595]
vehicle;7;46.685714;[0.197883, 0.00303938, 0.114758, 0.18866, 0.103101, 0.135435, 0.257123];[0.611351, 0.237297, 0.617838, 0.267838, 0.633514, 0.272162, 0.669189]
biodegradation;3;76.649811;[0.151855, 0.00937996, 0.0882386, 0.111732, 0.00937993, 0.00937993, 0.620035];[0.697826, 0.531522, 0.663478, 0.642391, 0.62087, 0.537174, 0.773696]
biodegradation;7;77.227170;[0.205089, 0.0140775, 0, 0.106073, 0.0140775, 0.0140775, 0.646606];[0.71587, 0.575435, 0.662391, 0.642826, 0.610435, 0.617609, 0.79413]
biodegradation;5;78.366038;[0.140244, 0.00908519, 0.034233, 0.133394, 0.00908519, 0.00908517, 0.664873];[0.707826, 0.573261, 0.674348, 0.641739, 0.624783, 0.598478, 0.779348]
seismic-bumps;7;93.441362;[0, 0.142857, 0.285714, 0, 0.142857, 0.142857, 0.285714];[0.930776, 0.906466, 0.928793, 0.912414, 0.932845, 0.932759, 0.935345]
seismic-bumps;5;93.441362;[0.153846, 0.179487, 0.192308, 0, 0.179487, 0.179487, 0.115385];[0.929397, 0.906466, 0.924224, 0.881207, 0.932845, 0.932759, 0.934052]
seismic-bumps;3;93.441362;[0.1648, 0.100318, 0.133229, 0.199873, 0.100318, 0.100318, 0.201142];[0.923362, 0.906466, 0.919483, 0.865517, 0.932845, 0.932759, 0.929828]
