sep=;
Dataset;k;Accuracy;Weights;Individual accs
bupa;5;66.923810;[0.171361, 0.0267385, 0.210042, 0.0326365, 0.140916, 0.141063, 0.277243];[0.666333, 0.545333, 0.688333, 0.582333, 0.689333, 0.581333, 0.687667]
bupa;7;68.433333;[0.103292, 0, 0.212543, 0.0274129, 0.130646, 0.148355, 0.377752];[0.687333, 0.529333, 0.689, 0.582333, 0.706, 0.584333, 0.693333]
bupa;3;66.476190;[0.138828, 0.125565, 0.140748, 0.0580042, 0.190871, 0.0652895, 0.280695];[0.654, 0.524, 0.639, 0.577667, 0.676333, 0.552333, 0.647]
sonar;5;76.460317;[0.00282306, 0.205425, 0, 0, 0.160185, 0, 0.631567];[0.781667, 0.424444, 0.770556, 0.573889, 0.752778, 0.611111, 0.801111]
sonar;7;72.896825;[0.102883, 0.229908, 0, 0, 0.295355, 0, 0.371855];[0.735, 0.395, 0.717222, 0.562778, 0.701111, 0.595, 0.767222]
sonar;3;79.690476;[0.248111, 0.106685, 0, 0.028014, 0.243651, 0.0806307, 0.29291];[0.795556, 0.441111, 0.785556, 0.633333, 0.792778, 0.658889, 0.806667]
ionosphere;3;89.342593;[0, 0.0145424, 0.109118, 0.0026627, 0, 0, 0.873677];[0.852903, 0.456129, 0.858387, 0.554516, 0.595161, 0.550323, 0.91129]
pima;7;72.736623;[0.244973, 0.154001, 0.127486, 0.153902, 0.0891942, 0, 0.230444];[0.721765, 0.595735, 0.685441, 0.359559, 0.675294, 0.470735, 0.714265]
pima;5;71.876710;[0.263826, 0.159854, 0.101324, 0.147529, 0.0612518, 0, 0.266215];[0.709706, 0.595735, 0.673382, 0.374706, 0.665882, 0.455735, 0.703676]
pima;3;70.018528;[0.258122, 0.202447, 0.11424, 0.130227, 0.0397638, 0.00399668, 0.251203];[0.690882, 0.601912, 0.648235, 0.497059, 0.654265, 0.467647, 0.687206]
ionosphere;5;89.157407;[0, 0.0166667, 0.119697, 0, 0, 0, 0.863636];[0.853871, 0.428065, 0.849677, 0.563548, 0.611613, 0.58, 0.897742]
ionosphere;7;88.601852;[0.0767778, 0.0238095, 0.0290749, 0.00312566, 0, 0, 0.867212];[0.842903, 0.44129, 0.845161, 0.56871, 0.591613, 0.580968, 0.894194]
ThoraricSurgery;3;84.638298;[0, 0.215561, 0, 0.118482, 0.215561, 0.215561, 0.234835];[0.809524, 0.830714, 0.814524, 0.704762, 0.830476, 0.854286, 0.822857]
ThoraricSurgery;5;85.063830;[0.0483347, 0.205185, 0, 0.172218, 0.205186, 0.205185, 0.163891];[0.843571, 0.83119, 0.838333, 0.83119, 0.830476, 0.835238, 0.843333]
wdbc;3;95.264133;[0, 0.0200862, 0.251341, 1.78687e-10, 0.122856, 0.0183247, 0.587392];[0.9176, 0.561, 0.9232, 0.363, 0.9446, 0.3766, 0.956]
ThoraricSurgery;7;84.978723;[3.83677e-10, 0.25, 0, 0, 0.25, 0.25, 0.25];[0.847143, 0.852857, 0.845238, 0.839286, 0.830476, 0.831429, 0.850952]
wdbc;7;95.119883;[0.161932, 0.017814, 0.203473, 1.64282e-10, 0, 0.0296709, 0.587111];[0.9252, 0.607, 0.9242, 0.363, 0.9402, 0.3776, 0.9504]
wdbc;5;95.330409;[0.0576764, 0.0222833, 0.219945, 1.00548e-10, 0.107007, 0.0237183, 0.56937];[0.926, 0.5982, 0.927, 0.363, 0.9448, 0.3766, 0.9516]
vehicle;3;45.983850;[0.161558, 0.000226959, 0.225913, 0.279992, 0.0907562, 0, 0.241554];[0.664, 0.2476, 0.674267, 0.256933, 0.627467, 0.255467, 0.677467]
vehicle;5;45.949612;[0.125594, 0, 0.182354, 0.28262, 0.110586, 0.0117877, 0.287058];[0.653867, 0.251733, 0.673867, 0.256933, 0.6352, 0.254, 0.6752]
vehicle;7;45.583656;[0.184529, 0.00742215, 0.113443, 0.300748, 0.119223, 0, 0.274634];[0.643867, 0.253333, 0.668, 0.256933, 0.6536, 0.254267, 0.680267]
biodegradation;3;81.811694;[0.203417, 0.011122, 0.0499113, 0.185848, 0.011122, 0.011122, 0.527458];[0.751064, 0.613191, 0.690426, 0.627447, 0.590638, 0.602021, 0.824574]
biodegradation;5;82.711190;[0.226431, 0.0213251, 0.0446079, 0.134835, 0.0213251, 0.021325, 0.530151];[0.759574, 0.636596, 0.71383, 0.638191, 0.605106, 0.605426, 0.836383]
biodegradation;7;82.716421;[0.230134, 0.0198157, 0.0192963, 0.134607, 0.0198157, 0.0198157, 0.556516];[0.754468, 0.636596, 0.712766, 0.635532, 0.605106, 0.625638, 0.838617]
seismic-bumps;3;93.405283;[0.134145, 0.0702343, 0.139586, 0.363636, 0.0702342, 0.0702342, 0.15193];[0.917931, 0.932888, 0.917672, 0.912414, 0.932759, 0.932888, 0.919957]
seismic-bumps;5;93.409053;[0.143024, 0.141604, 0.0408918, 0.25, 0.141604, 0.141604, 0.141272];[0.927026, 0.932888, 0.927845, 0.928103, 0.932759, 0.932888, 0.927629]
seismic-bumps;7;93.397470;[0.15493, 0.168075, 0.140845, 0, 0.168075, 0.168075, 0.2];[0.930043, 0.932888, 0.930819, 0.931034, 0.932759, 0.932888, 0.92931]
