Dataset;k;accuracy;weights
bupa;3;65.1;[0.164665, 0.0879094, 0.0939043, 0.0722381, 0.22508, 0.0923874, 0.263816]
sonar;3;81.3492;[0.144479, 0, 0.0433279, 0, 0.254818, 0.221739, 0.335635]
ThoraricSurgery;3;84.8723;[0, 0, 0.0142986, 0.1221, 0.863602, 0, 0]
ionosphere;3;90.1111;[0, 0, 0.0848396, 0, 0, 0.0670201, 0.84814]
pima;3;70.525;[0.298594, 0.223417, 0.126993, 0.0643276, 0.064751, 0, 0.221918]
wdbc;3;95.0702;[0, 0, 0.183212, 0, 0.222984, 0, 0.593804]
vehicle;3;66.7523;[0.0961585, 0, 0.481473, 0, 0, 0, 0.422368]
biodegradation;3;82.6164;[0.217164, 0.0898284, 0, 0.0821611, 0, 0, 0.610847]
seismic-bumps;3;93.4169;[0.0278632, 0, 0.21924, 0.0701956, 0.491784, 0, 0.190917]
