Dataset;k;accuracy;weights
bupa;7;68.0714;[0.10441, 0, 0.247984, 0, 0.241582, 0.104537, 0.301487]
sonar;7;77.3968;[0.0656337, 0.0634439, 0, 0, 0.252243, 0.0202267, 0.598453]
ThoraricSurgery;7;85.0426;[0, 0, 0, 0, 0.938498, 0, 0.0615023]
ionosphere;7;89.1759;[0, 0.00642396, 0.0621183, 0.0322906, 0, 0, 0.899167]
pima;7;74.1441;[0.325301, 0.0166115, 0.214121, 0.053794, 0.149013, 0, 0.241159]
wdbc;7;95.4035;[0.0886945, 0, 0.154227, 0, 0.190819, 0, 0.56626]
vehicle;7;68.9771;[0, 0, 0.221237, 0, 0.159572, 0, 0.619192]
biodegradation;7;83.6866;[0.131538, 0.0839987, 0.0333819, 0.0627222, 0, 0, 0.688359]
seismic-bumps;7;93.3819;[0.222486, 0, 0.15875, 0.436644, 0, 0, 0.182121]
