sep=;
dataset;k;step;acc;weights;best_weights;best_acc
biodegradation;7;750;67.7143;[0, 13, 26, 39, 26, 0, 0];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;750;70.6571;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;750;68.2857;[0, 13, 26, 39, 26, 0, 0];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;7;800;80.2857;[0, 13, 52, 13, 0, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;800;85.2952;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;800;82.1714;[0, 13, 52, 13, 0, 0, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;7;850;66.2762;[0, 26, 0, 0, 65, 0, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;3;850;66.2762;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;5;850;66.2762;[0, 26, 0, 0, 65, 0, 13];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;7;900;65.1714;[0, 26, 0, 52, 0, 13, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;900;68.5333;[0, 26, 0, 52, 0, 13, 13];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;900;71.6476;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;950;67.6857;[0, 26, 13, 26, 13, 13, 13];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;950;68.0571;[0, 26, 13, 26, 13, 13, 13];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;950;70.7238;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1000;80.2762;[0, 26, 39, 0, 0, 0, 39];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1000;82;[0, 26, 39, 0, 0, 0, 39];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1000;85.419;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 26, 0, 0, 78];90
biodegradation;7;1050;66.2952;[0, 39, 0, 0, 39, 0, 26];[0, 0, 26, 13, 13, 0, 52];87.3524
biodegradation;5;1050;66.2952;[0, 39, 0, 0, 39, 0, 26];[0, 0, 26, 13, 13, 0, 52];88.0095
biodegradation;3;1050;66.2952;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 26, 0, 0, 78];90
