------------------------------------------------------------------
 dataset  k  step    acc   weights   best_weights     best_acc    
------------------------------------------------------------------
wdbc  7  0    96.125   [0, 0, 0, 0, 0, 0, 104]   [0, 0, 0, 0, 0, 0, 104]     96.125
wdbc  3  0    97.5536   [0, 0, 0, 0, 0, 0, 104]   [0, 0, 0, 0, 0, 0, 104]     97.5536
wdbc  5  0    97.0179   [0, 0, 0, 0, 0, 0, 104]   [0, 0, 0, 0, 0, 0, 104]     97.0179
wdbc  7  1    96.1429   [0, 0, 0, 0, 0, 13, 91]   [0, 0, 0, 0, 0, 13, 91]     96.1429
wdbc  3  3    97.5714   [0, 0, 0, 0, 0, 39, 65]   [0, 0, 0, 0, 0, 39, 65]     97.5714
wdbc  7  3    96.1786   [0, 0, 0, 0, 0, 39, 65]   [0, 0, 0, 0, 0, 39, 65]     96.1786
wdbc  5  3    97.0714   [0, 0, 0, 0, 0, 39, 65]   [0, 0, 0, 0, 0, 39, 65]     97.0714
wdbc  3  14    98.0714   [0, 0, 0, 0, 13, 65, 26]   [0, 0, 0, 0, 13, 65, 26]     98.0714
wdbc  7  14    96.5357   [0, 0, 0, 0, 13, 65, 26]   [0, 0, 0, 0, 13, 65, 26]     96.5357
wdbc  7  50    39.5893   [0, 0, 0, 13, 0, 65, 26]   [0, 0, 0, 0, 13, 65, 26]     96.5357
wdbc  3  50    37.2679   [0, 0, 0, 13, 0, 65, 26]   [0, 0, 0, 0, 13, 65, 26]     98.0714
wdbc  5  50    39.5893   [0, 0, 0, 13, 0, 65, 26]   [0, 0, 0, 0, 0, 39, 65]     97.0714
wdbc  7  62    96.5714   [0, 0, 0, 13, 26, 26, 39]   [0, 0, 0, 13, 26, 26, 39]     96.5714
wdbc  3  95    98.0893   [0, 0, 0, 26, 26, 13, 39]   [0, 0, 0, 26, 26, 13, 39]     98.0893
wdbc  3  100    98.0536   [0, 0, 0, 26, 39, 13, 26]   [0, 0, 0, 26, 26, 13, 39]     98.0893
