sep=;
dataset;k;step;acc;weights;best_weights;best_acc
pima;7;450;76.9605;[0, 0, 52, 26, 0, 0, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;500;36.0921;[0, 13, 0, 0, 0, 65, 26];[0, 0, 26, 0, 13, 26, 39];83.7895
pima;5;500;50.3816;[0, 13, 0, 0, 0, 65, 26];[0, 0, 39, 0, 13, 13, 39];81.4737
pima;7;500;50.3816;[0, 13, 0, 0, 0, 65, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;550;78.7763;[0, 13, 0, 13, 39, 13, 26];[0, 0, 26, 0, 13, 26, 39];83.7895
pima;5;550;73.5526;[0, 13, 0, 13, 39, 13, 26];[0, 0, 39, 0, 13, 13, 39];81.4737
pima;7;550;71.9079;[0, 13, 0, 13, 39, 13, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;600;58.6447;[0, 13, 0, 52, 13, 13, 13];[0, 0, 26, 0, 13, 26, 39];83.7895
pima;5;600;77.7632;[0, 13, 0, 52, 13, 13, 13];[0, 0, 39, 0, 13, 13, 39];81.4737
pima;7;600;78.4342;[0, 13, 0, 52, 13, 13, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;650;82.7632;[0, 13, 13, 13, 13, 13, 39];[0, 0, 26, 0, 13, 26, 39];83.7895
pima;5;650;80.1579;[0, 13, 13, 13, 13, 13, 39];[0, 0, 39, 0, 13, 13, 39];81.4737
pima;7;650;80.2895;[0, 13, 13, 13, 13, 13, 39];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;700;83.1316;[0, 13, 26, 0, 0, 13, 52];[0, 0, 26, 0, 13, 26, 39];83.7895
pima;5;700;80.2368;[0, 13, 26, 0, 0, 13, 52];[0, 0, 39, 0, 13, 13, 39];81.4737
pima;3;710;83.8158;[0, 13, 26, 0, 26, 0, 39];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;7;700;80.3289;[0, 13, 26, 0, 0, 13, 52];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;5;742;81.5;[0, 13, 26, 26, 26, 0, 13];[0, 13, 26, 26, 26, 0, 13];81.5
pima;3;750;77.1053;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;750;77.0789;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;750;75.7895;[0, 13, 26, 39, 26, 0, 0];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;800;78.0789;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;800;77.2632;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;800;76.8816;[0, 13, 52, 13, 0, 0, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;850;72.6184;[0, 26, 0, 0, 65, 0, 13];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;850;71.9342;[0, 26, 0, 0, 65, 0, 13];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;850;70.7237;[0, 26, 0, 0, 65, 0, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;900;60.6053;[0, 26, 0, 52, 0, 13, 13];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;900;58.8421;[0, 26, 0, 52, 0, 13, 13];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;900;80.4342;[0, 26, 0, 52, 0, 13, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;950;61.6842;[0, 26, 13, 26, 13, 13, 13];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;950;74.4079;[0, 26, 13, 26, 13, 13, 13];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;950;73.9211;[0, 26, 13, 26, 13, 13, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1000;81.1447;[0, 26, 39, 0, 0, 0, 39];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;1000;78.5526;[0, 26, 39, 0, 0, 0, 39];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1000;77.7895;[0, 26, 39, 0, 0, 0, 39];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1050;80.8421;[0, 39, 0, 0, 39, 0, 26];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;1050;74.2237;[0, 39, 0, 0, 39, 0, 26];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1050;72.6974;[0, 39, 0, 0, 39, 0, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1100;80.8158;[0, 39, 13, 0, 26, 0, 26];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;1100;74.1974;[0, 39, 13, 0, 26, 0, 26];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1100;72.6053;[0, 39, 13, 0, 26, 0, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1150;76.5658;[0, 39, 39, 0, 13, 13, 0];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;7;1150;71.4474;[0, 39, 39, 0, 13, 13, 0];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;5;1150;71.4737;[0, 39, 39, 0, 13, 13, 0];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1200;71.0132;[0, 52, 13, 0, 13, 0, 26];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1200;78.1974;[0, 52, 13, 0, 13, 0, 26];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;1200;71.8026;[0, 52, 13, 0, 13, 0, 26];[0, 13, 26, 26, 26, 0, 13];81.5
pima;7;1250;65.0395;[0, 65, 0, 39, 0, 0, 0];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1250;34.9605;[0, 65, 0, 39, 0, 0, 0];[0, 13, 26, 0, 26, 0, 39];83.8158
pima;5;1250;65.0395;[0, 65, 0, 39, 0, 0, 0];[0, 13, 26, 26, 26, 0, 13];81.5
pima;3;1291;84.2763;[13, 0, 0, 0, 0, 52, 39];[13, 0, 0, 0, 0, 52, 39];84.2763
pima;7;1300;50.2368;[13, 0, 0, 0, 13, 65, 13];[0, 0, 13, 39, 13, 0, 39];81.2632
pima;3;1300;36.0263;[13, 0, 0, 0, 13, 65, 13];[13, 0, 0, 0, 0, 52, 39];84.2763
pima;5;1300;50.2368;[13, 0, 0, 0, 13, 65, 13];[0, 13, 26, 26, 26, 0, 13];81.5
