------------------------------------------------------------------
 dataset  k  step    acc   weights   best_weights     best_acc    
------------------------------------------------------------------
bupa  5  350    77.9412   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  3  350    80.0294   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 26, 13, 26, 0, 39]     82.1176
bupa  7  250    75.3235   [0, 0, 13, 39, 0, 0, 52]   [0, 0, 13, 0, 39, 0, 52]     77.7941
bupa  5  400    76.9412   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  3  376    82.2059   [0, 0, 39, 0, 13, 13, 39]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  3  400    81.4706   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  7  288    77.8529   [0, 0, 26, 0, 0, 39, 39]   [0, 0, 26, 0, 0, 39, 39]     77.8529
bupa  7  300    77.5588   [0, 0, 26, 0, 26, 26, 26]   [0, 0, 26, 0, 0, 39, 39]     77.8529
bupa  5  450    73.9706   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  3  450    78.6471   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  5  500    57.8824   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  7  350    77.6765   [0, 0, 26, 39, 0, 13, 26]   [0, 0, 26, 0, 0, 39, 39]     77.8529
bupa  3  500    57.5588   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  7  377    77.9412   [0, 0, 39, 0, 13, 26, 26]   [0, 0, 39, 0, 13, 26, 26]     77.9412
bupa  7  382    77.9706   [0, 0, 39, 0, 26, 26, 13]   [0, 0, 39, 0, 26, 26, 13]     77.9706
bupa  5  550    76.7353   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  3  550    78.1765   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  7  400    78.0882   [0, 0, 39, 13, 26, 13, 13]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  5  600    58.0588   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 26, 0, 0, 39, 39]     78.0882
bupa  7  450    76   [0, 0, 52, 26, 0, 0, 26]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  3  600    58.0588   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  5  624    78.1176   [0, 13, 13, 0, 13, 26, 39]   [0, 13, 13, 0, 13, 26, 39]     78.1176
bupa  5  650    78   [0, 13, 13, 13, 13, 13, 39]   [0, 13, 13, 0, 13, 26, 39]     78.1176
bupa  7  500    57.8824   [0, 13, 0, 0, 0, 65, 26]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  3  650    81.1471   [0, 13, 13, 13, 13, 13, 39]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  5  700    76.8235   [0, 13, 26, 0, 0, 13, 52]   [0, 13, 13, 0, 13, 26, 39]     78.1176
bupa  7  550    76.4706   [0, 13, 0, 13, 39, 13, 26]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  5  706    78.1471   [0, 13, 26, 0, 13, 13, 39]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  700    79.1471   [0, 13, 26, 0, 0, 13, 52]   [0, 0, 39, 0, 13, 13, 39]     82.2059
bupa  3  711    82.2353   [0, 13, 26, 0, 26, 13, 26]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  5  750    75.5882   [0, 13, 26, 39, 26, 0, 0]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  750    78.5294   [0, 13, 26, 39, 26, 0, 0]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  7  600    58.0588   [0, 13, 0, 52, 13, 13, 13]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  5  800    73.9706   [0, 13, 52, 13, 0, 0, 26]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  800    78.4706   [0, 13, 52, 13, 0, 0, 26]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  7  650    77.4118   [0, 13, 13, 13, 13, 13, 39]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  5  850    75.9706   [0, 26, 0, 0, 65, 0, 13]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  850    77.6765   [0, 26, 0, 0, 65, 0, 13]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  5  900    58.0294   [0, 26, 0, 52, 0, 13, 13]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  7  700    75.3529   [0, 13, 26, 0, 0, 13, 52]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  3  900    58.0294   [0, 26, 0, 52, 0, 13, 13]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  5  950    57.9118   [0, 26, 13, 26, 13, 13, 13]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  7  750    77.0588   [0, 13, 26, 39, 26, 0, 0]   [0, 0, 39, 13, 26, 13, 13]     78.0882
bupa  3  950    58.2059   [0, 26, 13, 26, 13, 13, 13]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  7  774    78.2059   [0, 13, 39, 13, 13, 0, 26]   [0, 13, 39, 13, 13, 0, 26]     78.2059
bupa  5  1000    78.0588   [0, 26, 39, 0, 0, 0, 39]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  1000    80.0882   [0, 26, 39, 0, 0, 0, 39]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  7  800    76.0588   [0, 13, 52, 13, 0, 0, 26]   [0, 13, 39, 13, 13, 0, 26]     78.2059
bupa  5  1050    76.8529   [0, 39, 0, 0, 39, 0, 26]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  1050    78.3235   [0, 39, 0, 0, 39, 0, 26]   [0, 13, 26, 0, 26, 13, 26]     82.2353
bupa  7  850    76.9412   [0, 26, 0, 0, 65, 0, 13]   [0, 13, 39, 13, 13, 0, 26]     78.2059
bupa  5  1100    76.7353   [0, 39, 13, 0, 26, 0, 26]   [0, 13, 26, 0, 13, 13, 39]     78.1471
bupa  3  1100    78.1765   [0, 39, 13, 0, 26, 0, 26]   [0, 13, 26, 0, 26, 13, 26]     82.2353
