sep=;
dataset;k;step;acc;weights;best_weights;best_acc
sonar;3;650;89.65;[0, 13, 13, 13, 13, 13, 39];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;600;63.85;[0, 13, 0, 52, 13, 13, 13];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;700;84;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;700;86.85;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;650;86.05;[0, 13, 13, 13, 13, 13, 39];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;750;81.95;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;750;89.15;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;700;86.95;[0, 13, 26, 0, 0, 13, 52];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;800;81.75;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;800;87.35;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;7;850;82.05;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;850;88.95;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;750;84.25;[0, 13, 26, 39, 26, 0, 0];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;900;57.55;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;900;69.8;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;800;82.6;[0, 13, 52, 13, 0, 0, 26];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;950;66.95;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;950;80.9;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;850;85;[0, 26, 0, 0, 65, 0, 13];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1000;80.85;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1000;86;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;900;63.4;[0, 26, 0, 52, 0, 13, 13];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1050;82.3;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1050;88.95;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;950;73.1;[0, 26, 13, 26, 13, 13, 13];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1100;82.15;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1100;88.95;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;1000;85.05;[0, 26, 39, 0, 0, 0, 39];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1150;82.65;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1150;88.55;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;7;1200;81.2;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;5;1050;86.25;[0, 39, 0, 0, 39, 0, 26];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;3;1200;87.05;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;7;1250;38.8;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1250;44.5;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 0, 39, 52, 13];91.35
sonar;5;1100;85.95;[0, 39, 13, 0, 26, 0, 26];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1300;66.35;[13, 0, 0, 0, 13, 65, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1299;91.85;[13, 0, 0, 0, 13, 52, 26];[13, 0, 0, 0, 13, 52, 26];91.85
sonar;3;1300;73.1;[13, 0, 0, 0, 13, 65, 13];[13, 0, 0, 0, 13, 52, 26];91.85
sonar;3;1312;92.3;[13, 0, 0, 0, 39, 52, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;7;1350;82.45;[13, 0, 0, 13, 78, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;5;1150;83.6;[0, 39, 39, 0, 13, 13, 0];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;3;1350;89;[13, 0, 0, 13, 78, 0, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;7;1400;57.75;[13, 0, 0, 65, 13, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1400;69.75;[13, 0, 0, 65, 13, 0, 13];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;7;1450;81.75;[13, 0, 13, 13, 39, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;5;1200;84.95;[0, 52, 13, 0, 13, 0, 26];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;3;1450;89.5;[13, 0, 13, 13, 39, 0, 26];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;7;1500;82.65;[13, 0, 26, 0, 13, 39, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1500;89.3;[13, 0, 26, 0, 13, 39, 13];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1250;43.45;[0, 65, 0, 39, 0, 0, 0];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;7;1550;81.7;[13, 0, 39, 0, 0, 39, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1550;89;[13, 0, 39, 0, 0, 39, 13];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;7;1600;81.5;[13, 0, 52, 26, 13, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1600;87.35;[13, 0, 52, 26, 13, 0, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1300;68.85;[13, 0, 0, 0, 13, 65, 13];[0, 13, 0, 0, 26, 0, 65];87.35
sonar;5;1313;87.6;[13, 0, 0, 0, 52, 0, 39];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1650;66.3;[13, 13, 0, 13, 0, 65, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1650;72.95;[13, 13, 0, 13, 0, 65, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1350;85.25;[13, 0, 0, 13, 78, 0, 0];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1700;57.9;[13, 13, 0, 78, 0, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1700;69.85;[13, 13, 0, 78, 0, 0, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1400;63.3;[13, 0, 0, 65, 13, 0, 13];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1750;80.75;[13, 13, 13, 39, 13, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1750;88.45;[13, 13, 13, 39, 13, 0, 13];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1450;84.95;[13, 0, 13, 13, 39, 0, 26];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1800;82.25;[13, 13, 39, 0, 26, 13, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1800;88.05;[13, 13, 39, 0, 26, 13, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1500;84.6;[13, 0, 26, 0, 13, 39, 13];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1850;67.05;[13, 26, 0, 13, 0, 26, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1850;80.5;[13, 26, 0, 13, 0, 26, 26];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1550;83.55;[13, 0, 39, 0, 0, 39, 13];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1900;68.45;[13, 26, 13, 13, 0, 26, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;1900;81.2;[13, 26, 13, 13, 0, 26, 13];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1600;82.45;[13, 0, 52, 26, 13, 0, 0];[13, 0, 0, 0, 52, 0, 39];87.6
sonar;7;1950;81.85;[13, 26, 52, 0, 13, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;5;1635;87.65;[13, 13, 0, 0, 39, 0, 39];[13, 13, 0, 0, 39, 0, 39];87.65
sonar;3;1950;87.45;[13, 26, 52, 0, 13, 0, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1650;68.8;[13, 13, 0, 13, 0, 65, 0];[13, 13, 0, 0, 39, 0, 39];87.65
sonar;5;1652;87.7;[13, 13, 0, 13, 13, 13, 39];[13, 13, 0, 13, 13, 13, 39];87.7
sonar;7;2000;67.55;[13, 39, 13, 13, 0, 26, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2000;78.1;[13, 39, 13, 13, 0, 26, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1681;87.85;[13, 13, 0, 39, 0, 0, 39];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2050;63.6;[13, 52, 13, 13, 0, 13, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2050;73.8;[13, 52, 13, 13, 0, 13, 0];[13, 0, 0, 0, 39, 52, 0];92.3
sonar;5;1700;63.5;[13, 13, 0, 78, 0, 0, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2100;83;[26, 0, 0, 0, 39, 39, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2100;92.5;[26, 0, 0, 0, 39, 39, 0];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2150;82.1;[26, 0, 0, 39, 26, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2150;90.75;[26, 0, 0, 39, 26, 0, 13];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2200;82.9;[26, 0, 13, 26, 0, 13, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;5;1750;83.6;[13, 13, 13, 39, 13, 0, 13];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;3;2200;89.25;[26, 0, 13, 26, 0, 13, 26];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2250;80.2;[26, 0, 26, 39, 0, 0, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2250;87.3;[26, 0, 26, 39, 0, 0, 13];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2300;84.2;[26, 13, 0, 0, 26, 0, 39];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2300;89;[26, 13, 0, 0, 26, 0, 39];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;5;1800;83.25;[13, 13, 39, 0, 26, 13, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2350;83.6;[26, 13, 13, 0, 13, 0, 39];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2350;88.45;[26, 13, 13, 0, 13, 0, 39];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;5;1850;72.9;[13, 26, 0, 13, 0, 26, 26];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2400;83.1;[26, 13, 39, 0, 0, 0, 26];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2400;88.3;[26, 13, 39, 0, 0, 0, 26];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2450;82.8;[26, 26, 13, 0, 0, 0, 39];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2450;87.75;[26, 26, 13, 0, 0, 0, 39];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;5;1900;72.7;[13, 26, 13, 13, 0, 26, 13];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2500;81.85;[26, 39, 0, 13, 26, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2500;88.95;[26, 39, 0, 13, 26, 0, 0];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2550;84.3;[39, 0, 0, 0, 13, 39, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2550;89.9;[39, 0, 0, 0, 13, 39, 13];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;5;1950;82.85;[13, 26, 52, 0, 13, 0, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;7;2600;83.75;[39, 0, 13, 0, 0, 39, 13];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2600;89.05;[39, 0, 13, 0, 0, 39, 13];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;7;2650;81.5;[39, 0, 26, 26, 13, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
sonar;3;2650;89.2;[39, 0, 26, 26, 13, 0, 0];[26, 0, 0, 0, 39, 39, 0];92.5
sonar;5;2000;71.9;[13, 39, 13, 13, 0, 26, 0];[13, 13, 0, 39, 0, 0, 39];87.85
sonar;3;2680;92.6;[39, 13, 0, 0, 39, 13, 0];[39, 13, 0, 0, 39, 13, 0];92.6
sonar;7;2700;81.55;[39, 13, 0, 39, 13, 0, 0];[0, 0, 0, 26, 13, 0, 65];84.5
