sep=;
dataset;k;step;acc;weights;best_weights;best_acc
ionosphere;7;750;65.3143;[0, 13, 26, 39, 26, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;700;92;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;800;84.9143;[0, 13, 52, 13, 0, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;700;91.7143;[0, 13, 26, 0, 0, 13, 52];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;750;65.3143;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;900;64.0571;[0, 26, 0, 52, 0, 13, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;750;65.0286;[0, 13, 26, 39, 26, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;800;90.8857;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;950;67.5143;[0, 26, 13, 26, 13, 13, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;800;86.6286;[0, 13, 52, 13, 0, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1000;85.7143;[0, 26, 39, 0, 0, 0, 39];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;850;64.1143;[0, 26, 0, 0, 65, 0, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1050;67.4286;[0, 39, 0, 0, 39, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;900;63.2;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1100;85.5143;[0, 39, 13, 0, 26, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;900;64.9143;[0, 26, 0, 52, 0, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;950;70.0571;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1150;84.9143;[0, 39, 39, 0, 13, 13, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;950;68.3429;[0, 26, 13, 26, 13, 13, 13];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1200;85.7429;[0, 52, 13, 0, 13, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1000;90.8571;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1250;40.2;[0, 65, 0, 39, 0, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1000;86.5714;[0, 26, 39, 0, 0, 0, 39];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1300;64.0857;[13, 0, 0, 0, 13, 65, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1050;69.7143;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1350;64.1429;[13, 0, 0, 13, 78, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1050;68.0286;[0, 39, 0, 0, 39, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1400;63.2286;[13, 0, 0, 65, 13, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1100;89.8;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1450;82.9143;[13, 0, 13, 13, 39, 0, 26];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1100;86.3714;[0, 39, 13, 0, 26, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1500;82.8571;[13, 0, 26, 0, 13, 39, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1150;90.9143;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1550;84.6;[13, 0, 39, 0, 0, 39, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1150;86.6286;[0, 39, 39, 0, 13, 13, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1600;84.9143;[13, 0, 52, 26, 13, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;3;1200;90.8857;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1650;64.0857;[13, 13, 0, 13, 0, 65, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1200;86.6;[0, 52, 13, 0, 13, 0, 26];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;3;1250;38.4286;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 0, 26, 39, 39];92.1143
ionosphere;7;1700;63.2857;[13, 13, 0, 78, 0, 0, 0];[0, 13, 26, 13, 0, 0, 52];90.1143
ionosphere;5;1250;39.3429;[0, 65, 0, 39, 0, 0, 0];[0, 0, 0, 0, 26, 13, 65];91.8
ionosphere;7;1750;67.5143;[13, 13, 13, 39, 13, 0, 13];[0, 13, 26, 13, 0, 0, 52];90.1143
